,date,is_clear_algo,mean_change
0,2023-01-12,False,27.318869047619046
1,2023-01-20,False,45.63298780487805
2,2023-02-22,False,40.245986842105275
3,2023-02-24,False,57.00276315789474
4,2023-02-26,False,31.595789473684206
5,2023-03-25,False,59.47407142857142
6,2023-04-26,False,49.607936507936536
7,2023-05-02,False,79.49888888888889
8,2023-05-03,False,57.29411290322581
9,2023-05-12,False,38.87266666666665
10,2023-05-20,False,46.900084745762705
11,2023-05-22,False,23.927118644067797
12,2023-06-01,False,45.999824561403514
13,2023-06-03,False,22.26763157894737
14,2023-06-09,False,60.14859649122807
15,2023-06-19,True,23.815175438596487
16,2023-06-21,False,35.86394736842105
17,2023-07-08,False,64.12724137931035
18,2023-07-09,False,51.08568965517241
19,2023-07-12,True,21.741810344827584
20,2023-07-30,False,45.529508196721316
21,2023-08-28,False,28.724318181818173
22,2023-09-21,False,51.28278571428572
23,2023-10-05,False,44.63760273972602
24,2023-10-10,True,25.650000000000002
25,2023-10-11,False,27.9178
26,2023-10-19,False,31.4724025974026
27,2023-10-27,False,37.29967532467531
28,2023-11-08,False,40.46886075949367
29,2023-11-18,False,46.152926829268296
